Source,Target,MutualScore,A_to_B_avg,B_to_A_avg
GR,ME,10.58,2.0,8.58
ES,PT,10.53,5.8,4.73
BE,NL,10.46,5.44,5.02
BY,PL,10.45,5.45,5.0
GE,IT,10.45,7.07,3.38
HU,NO,10.43,6.62,3.8
EE,GE,10.42,3.92,6.5
FR,PT,10.4,7.12,3.28
AL,AT,10.4,3.56,6.83
BE,RU,10.37,5.68,4.69
MD,NO,10.37,6.71,3.67
IL,NL,10.36,3.8,6.56
IL,SE,10.36,6.11,4.26
IL,MD,10.34,5.21,5.12
BG,EE,10.31,2.09,8.22
NO,PL,10.29,4.7,5.59
CY,GE,10.29,4.75,5.54
EE,IE,10.28,4.64,5.64
CY,IT,10.27,7.09,3.18
CY,RO,10.21,6.0,4.21
AL,CY,10.18,7.65,2.53
TR,YU,10.17,6.67,3.5
BY,CZ,10.17,6.5,3.67
AZ,NO,10.14,5.94,4.2
AU,IT,10.12,4.0,6.12
IL,MT,10.07,4.0,6.07
MT,RU,10.06,5.87,4.19
EE,NO,10.03,6.59,3.44
MT,SM,10.02,4.25,5.77
CZ,ES,10.01,1.23,8.78
DE,MA,10.0,0.0,10.0
BE,LT,10.0,3.0,7.0
BY,CS,10.0,10.0,0.0
CS,NO,10.0,2.0,8.0
AZ,IT,9.99,6.07,3.92
BG,RO,9.98,5.18,4.8
EE,IS,9.93,5.24,4.69
CZ,NL,9.93,5.5,4.43
FI,RU,9.92,7.39,2.53
GB,MT,9.88,5.34,4.54
CH,HR,9.87,5.91,3.95
LU,MT,9.86,4.86,5.0
MK,UA,9.82,7.12,2.7
HR,MT,9.79,5.19,4.6
LV,PT,9.77,5.33,4.44
AZ,LT,9.77,2.57,7.2
IL,LU,9.76,4.0,5.76
IL,IT,9.75,3.97,5.79
DK,NL,9.7,4.96,4.74
NO,RU,9.67,4.0,5.67
BE,GE,9.65,2.83,6.82
CH,PT,9.63,5.9,3.73
AM,PT,9.63,6.85,2.79
RS,UA,9.6,7.53,2.07
MK,MT,9.59,6.94,2.65
IS,PT,9.58,4.91,4.67
IE,PL,9.55,6.45,3.09
AL,SE,9.54,6.6,2.94
NO,RS,9.54,4.6,4.94
BG,IT,9.54,3.88,5.67
CY,SM,9.53,1.62,7.91
AZ,HR,9.52,3.92,5.6
FI,IL,9.5,5.86,3.64
CS,IL,9.5,2.0,7.5
IE,MT,9.48,5.48,4.0
BG,HR,9.45,4.0,5.45
GR,MT,9.43,4.0,5.43
MT,UA,9.42,6.35,3.07
CY,MT,9.39,4.0,5.39
HU,SE,9.39,5.06,4.33
NL,SE,9.35,5.6,3.75
IE,UA,9.33,6.8,2.53
CY,MC,9.33,1.33,8.0
BA,MC,9.33,0.0,9.33
NL,TR,9.31,5.79,3.52
IS,UA,9.3,6.95,2.35
IT,ME,9.3,1.5,7.8
CH,IT,9.26,5.61,3.65
IL,YU,9.21,4.86,4.36
FI,LV,9.19,3.24,5.95
ES,IT,9.16,6.31,2.84
IT,PT,9.16,2.34,6.82
AU,NL,9.12,3.0,6.12
DE,TR,9.11,6.5,2.61
LV,MD,9.1,6.93,2.17
BY,LV,9.08,4.67,4.42
PT,RS,9.05,4.33,4.71
IL,NO,9.04,3.73,5.3
EE,NL,9.04,5.48,3.56
BY,GR,9.04,4.4,4.64
BA,SK,9.03,2.2,6.83
CH,LV,9.02,3.24,5.79
CH,MD,9.02,1.93,7.09
RO,SE,9.01,6.7,2.32
GB,LV,9.01,7.25,1.76
AD,FI,9.0,8.17,0.83
LU,MD,9.0,0.0,9.0
MK,RU,8.96,6.41,2.55
IS,LV,8.96,3.11,5.85
BE,RS,8.96,2.86,6.1
GE,SE,8.96,7.71,1.25
AT,IE,8.95,5.21,3.73
GB,IL,8.95,5.23,3.72
PL,SM,8.95,3.7,5.25
AT,IL,8.94,4.53,4.41
IS,NL,8.94,5.78,3.17
BG,FR,8.93,2.43,6.5
AZ,PL,8.92,3.45,5.46
BG,CH,8.91,3.08,5.83
HR,RU,8.9,6.9,2.0
FR,UA,8.9,5.65,3.25
CH,IL,8.88,5.83,3.05
GB,PL,8.85,6.96,1.89
FR,GR,8.83,4.36,4.48
RO,UA,8.82,6.71,2.12
CH,CZ,8.82,2.45,6.36
CY,RS,8.8,5.4,3.4
CY,IL,8.79,5.0,3.79
BG,DK,8.79,2.43,6.36
AT,RO,8.78,5.38,3.4
BY,EE,8.77,4.92,3.85
RU,SE,8.73,3.73,5.0
AM,MK,8.73,5.57,3.15
GR,IT,8.72,5.17,3.56
LT,PT,8.72,4.55,4.17
NL,SM,8.72,0.44,8.27
CH,NL,8.7,4.11,4.59
MT,NL,8.69,5.0,3.69
LT,NL,8.67,5.95,2.73
CH,IS,8.66,3.69,4.97
