Source,Target,VoteType,TotalPoints,Encounters,AvgPointsPerEncounter
CH,IT,public,81,9,9.0
RU,CY,public,36,4,9.0
ES,IE,public,27,3,9.0
IE,BE,jury,53,6,8.83
AT,MT,jury,44,5,8.8
GE,AZ,public,44,5,8.8
LV,SE,jury,79,9,8.78
ME,AM,jury,35,4,8.75
BG,IL,jury,35,4,8.75
DK,CH,jury,70,8,8.75
ME,RU,jury,26,3,8.67
RO,MD,jury,52,6,8.67
RS,ME,jury,26,3,8.67
AL,MK,public,26,3,8.67
HR,SI,public,52,6,8.67
FR,UA,public,69,8,8.62
HR,CZ,jury,43,5,8.6
NL,BE,public,43,5,8.6
AU,MD,public,43,5,8.6
PL,IS,public,43,5,8.6
SM,GR,public,60,7,8.57
AM,SE,jury,68,8,8.5
IL,AT,jury,51,6,8.5
AZ,AL,jury,51,6,8.5
AT,CH,jury,68,8,8.5
BG,CY,public,34,4,8.5
BE,SE,jury,76,9,8.44
SM,IT,jury,76,9,8.44
BE,NL,public,59,7,8.43
MD,BG,jury,42,5,8.4
IL,CZ,public,42,5,8.4
UA,AU,jury,50,6,8.33
AZ,BY,jury,25,3,8.33
CZ,IE,jury,25,3,8.33
UA,RU,public,25,3,8.33
BG,MK,public,25,3,8.33
AT,HR,public,58,7,8.29
LV,UA,jury,66,8,8.25
MT,RU,jury,33,4,8.25
NL,RU,jury,33,4,8.25
SI,UA,public,66,8,8.25
RS,RU,public,33,4,8.25
SM,BG,public,33,4,8.25
BG,MD,public,33,4,8.25
GB,SE,jury,74,9,8.22
MK,MT,jury,41,5,8.2
GE,SM,public,41,5,8.2
AU,BE,jury,49,6,8.17
SI,BE,jury,49,6,8.17
UA,NL,jury,49,6,8.17
AM,CY,jury,49,6,8.17
IT,DK,jury,49,6,8.17
PT,CZ,jury,49,6,8.17
IL,AU,jury,57,7,8.14
CY,SE,jury,73,9,8.11
LV,AU,jury,48,6,8.0
MK,RU,jury,24,3,8.0
MT,BG,jury,32,4,8.0
GE,SE,jury,72,9,8.0
IT,BE,jury,40,5,8.0
LT,NL,jury,56,7,8.0
ME,MT,jury,40,5,8.0
BA,RS,jury,8,1,8.0
FR,GR,jury,56,7,8.0
RU,GR,jury,24,3,8.0
RO,SE,jury,48,6,8.0
RO,MT,jury,40,5,8.0
AZ,UA,public,64,8,8.0
SM,UA,public,64,8,8.0
AT,RU,public,24,3,8.0
MK,RU,public,24,3,8.0
MT,SE,public,72,9,8.0
NO,PL,public,48,6,8.0
BA,ME,public,8,1,8.0
BY,NO,public,32,4,8.0
NO,DK,public,48,6,8.0
BY,MD,public,16,2,8.0
HU,DK,public,24,3,8.0
PT,IE,public,16,2,8.0
ME,MK,public,16,2,8.0
RU,BY,public,8,1,8.0
ME,LU,public,8,1,8.0
IS,SE,jury,71,9,7.89
MT,IT,jury,71,9,7.89
ES,CH,jury,55,7,7.86
AM,PT,jury,47,6,7.83
SE,PL,public,47,6,7.83
CY,MT,jury,39,5,7.8
GE,AZ,jury,39,5,7.8
SE,AZ,jury,39,5,7.8
SE,BE,public,39,5,7.8
BY,AU,jury,31,4,7.75
BG,AM,jury,31,4,7.75
GB,MK,jury,31,4,7.75
HR,UA,public,62,8,7.75
BG,IL,public,31,4,7.75
PL,HU,public,31,4,7.75
IE,RO,public,31,4,7.75
NL,NO,public,62,8,7.75
LT,PT,jury,54,7,7.71
GB,PT,jury,54,7,7.71
FI,CH,jury,54,7,7.71
LT,BE,jury,46,6,7.67
HU,AZ,jury,23,3,7.67
BY,CZ,jury,23,3,7.67
BE,CZ,jury,46,6,7.67
DE,HU,public,23,3,7.67
CY,RO,public,23,3,7.67
SM,RO,public,23,3,7.67
EE,CH,jury,61,8,7.62
AT,RS,public,61,8,7.62
AL,BG,jury,38,5,7.6
BG,BE,jury,38,5,7.6
LV,IS,jury,38,5,7.6
ME,UA,public,38,5,7.6
RO,UA,public,38,5,7.6
DE,NL,jury,53,7,7.57
AL,GR,jury,53,7,7.57
SI,IT,public,68,9,7.56
IL,UA,jury,60,8,7.5
BE,BG,jury,30,4,7.5
RS,MK,jury,30,4,7.5
BY,NO,jury,30,4,7.5
FR,MK,jury,15,2,7.5
NL,UA,public,60,8,7.5
HU,NL,public,30,4,7.5
SM,HU,public,30,4,7.5
HU,HR,public,15,2,7.5
AT,CH,public,60,8,7.5
HU,SI,public,15,2,7.5
NO,IS,public,30,4,7.5
LU,GR,public,15,2,7.5
