Source,Target,VoteType,TotalPoints,Encounters,AvgPointsPerEncounter
AZ,AT,public,21,7,3.0
GE,IT,public,27,9,3.0
UA,IT,public,24,8,3.0
LV,AZ,public,15,5,3.0
NL,AZ,public,15,5,3.0
SM,AZ,public,15,5,3.0
AM,HU,public,9,3,3.0
LT,HU,public,9,3,3.0
MD,HU,public,9,3,3.0
MK,HU,public,9,3,3.0
SE,HU,public,9,3,3.0
LV,GE,public,15,5,3.0
CZ,CY,public,24,8,3.0
EE,HR,public,15,5,3.0
LT,CZ,public,15,5,3.0
PL,CZ,public,21,7,3.0
UA,CZ,public,12,4,3.0
EE,SM,public,18,6,3.0
GR,SM,public,12,4,3.0
MD,SM,public,12,4,3.0
ES,SM,public,15,5,3.0
HR,EE,public,24,8,3.0
HU,EE,public,12,4,3.0
DE,AL,public,18,6,3.0
UA,CH,public,21,7,3.0
BY,PT,public,9,3,3.0
GR,PT,public,24,8,3.0
DK,RO,public,12,4,3.0
FI,RO,public,6,2,3.0
NL,RO,public,15,5,3.0
BE,GR,public,21,7,3.0
MT,DK,public,12,4,3.0
HU,CH,public,6,2,3.0
FR,AL,public,18,6,3.0
GR,IE,public,6,2,3.0
AM,MK,public,6,2,3.0
RU,MK,public,6,2,3.0
LU,PL,public,3,1,3.0
PL,IT,public,26,9,2.89
IE,GB,public,26,9,2.89
CH,DE,public,26,9,2.89
SM,LT,jury,23,8,2.88
AU,CY,jury,23,8,2.88
GE,CY,jury,23,8,2.88
IS,GR,jury,23,8,2.88
IS,EE,jury,23,8,2.88
AM,IT,public,23,8,2.88
PL,CY,public,23,8,2.88
ES,CY,public,23,8,2.88
AZ,FI,public,23,8,2.88
GR,EE,public,23,8,2.88
IS,EE,public,23,8,2.88
ES,NO,public,23,8,2.88
HR,CH,public,23,8,2.88
AM,UA,jury,20,7,2.86
HR,AU,jury,20,7,2.86
CY,RS,jury,20,7,2.86
MD,CY,jury,20,7,2.86
AZ,EE,jury,20,7,2.86
LV,DK,jury,20,7,2.86
IE,PT,jury,20,7,2.86
MD,LT,public,20,7,2.86
MD,FI,public,20,7,2.86
AT,PT,public,20,7,2.86
AL,EE,public,20,7,2.86
AT,BE,jury,17,6,2.83
UA,SI,jury,17,6,2.83
LV,MD,jury,17,6,2.83
LV,GR,jury,17,6,2.83
BE,EE,jury,17,6,2.83
IE,FI,jury,17,6,2.83
MK,SE,public,17,6,2.83
AZ,BE,public,17,6,2.83
GB,BE,public,17,6,2.83
MK,NL,public,17,6,2.83
AL,AZ,public,17,6,2.83
IS,HR,public,17,6,2.83
AM,CZ,public,17,6,2.83
RS,CZ,public,17,6,2.83
RO,FR,public,17,6,2.83
ME,CY,jury,14,5,2.8
BG,NO,jury,14,5,2.8
UA,IE,jury,14,5,2.8
UA,GR,jury,14,5,2.8
HR,DK,jury,14,5,2.8
SI,IS,jury,14,5,2.8
MT,AL,jury,14,5,2.8
SI,BG,public,14,5,2.8
AM,BE,public,14,5,2.8
BG,BE,public,14,5,2.8
SI,AZ,public,14,5,2.8
CZ,HR,public,14,5,2.8
DE,CZ,public,14,5,2.8
BG,CH,public,14,5,2.8
PT,AU,public,14,5,2.8
IL,FR,jury,25,9,2.78
EE,IT,jury,25,9,2.78
IL,DE,jury,25,9,2.78
CZ,FI,jury,25,9,2.78
RS,FR,public,25,9,2.78
CH,FR,public,25,9,2.78
FI,IT,public,25,9,2.78
GR,FI,public,25,9,2.78
RU,AU,jury,11,4,2.75
RS,LT,jury,22,8,2.75
IS,MT,jury,11,4,2.75
RU,IT,jury,11,4,2.75
SM,RS,jury,22,8,2.75
BY,DK,jury,11,4,2.75
CY,PT,jury,22,8,2.75
PT,SE,jury,22,8,2.75
AT,NO,jury,22,8,2.75
MT,NO,jury,22,8,2.75
RO,HR,jury,11,4,2.75
BE,FI,jury,22,8,2.75
IT,SM,jury,11,4,2.75
HU,AU,public,11,4,2.75
SE,BG,public,11,4,2.75
HU,SE,public,11,4,2.75
ME,BE,public,11,4,2.75
DK,IL,public,22,8,2.75
CZ,HU,public,11,4,2.75
IS,HU,public,11,4,2.75
BE,CY,public,22,8,2.75
RS,CH,public,22,8,2.75
GB,CH,public,22,8,2.75
SI,PT,public,22,8,2.75
RO,BE,public,11,4,2.75
CZ,NO,public,22,8,2.75
GE,FI,public,22,8,2.75
MT,MK,public,11,4,2.75
CZ,PL,jury,19,7,2.71
GR,NL,jury,19,7,2.71
PL,AT,jury,19,7,2.71
AU,RS,jury,19,7,2.71
GB,CZ,jury,19,7,2.71
IE,EE,jury,19,7,2.71
PL,EE,jury,19,7,2.71
PL,LT,public,19,7,2.71
IL,BE,public,19,7,2.71
ES,BE,public,19,7,2.71
AZ,NL,public,19,7,2.71
SM,NL,public,19,7,2.71
CH,NL,public,19,7,2.71
CZ,AT,public,19,7,2.71
AU,CH,public,19,7,2.71
GR,SE,jury,24,9,2.67
SI,AM,jury,16,6,2.67
BY,PL,jury,8,3,2.67
HU,LT,jury,8,3,2.67
EE,MT,jury,16,6,2.67
CZ,IL,jury,24,9,2.67
NO,LV,jury,16,6,2.67
CZ,AZ,jury,16,6,2.67
AT,HU,jury,8,3,2.67
CH,HU,jury,8,3,2.67
DE,HR,jury,16,6,2.67
IT,GB,jury,24,9,2.67
SM,GB,jury,24,9,2.67
RU,EE,jury,8,3,2.67
BG,BY,jury,8,3,2.67
LV,NO,jury,24,9,2.67
GE,SI,jury,16,6,2.67
RS,DK,jury,16,6,2.67
MK,CH,jury,16,6,2.67
CZ,BY,jury,8,3,2.67
BY,GR,jury,8,3,2.67
AT,AL,jury,16,6,2.67
PT,RS,jury,16,6,2.67
UA,IS,jury,8,3,2.67
GR,AU,public,16,6,2.67
ES,AU,public,16,6,2.67
LT,FR,public,24,9,2.67
CH,PL,public,16,6,2.67
HU,BE,public,8,3,2.67
IE,BE,public,16,6,2.67
RS,IL,public,24,9,2.67
PL,LV,public,16,6,2.67
IE,HU,public,8,3,2.67
MD,ME,public,8,3,2.67
RU,IS,public,8,3,2.67
RU,FI,public,8,3,2.67
CY,MD,public,16,6,2.67
IE,CH,public,24,9,2.67
LT,CH,public,24,9,2.67
AU,EE,public,16,6,2.67
SI,EE,public,16,6,2.67
RU,SI,public,8,3,2.67
SE,MK,public,8,3,2.67
GR,AT,jury,21,8,2.62
AM,ES,jury,21,8,2.62
MT,EE,jury,21,8,2.62
AU,PT,jury,21,8,2.62
AU,PT,public,21,8,2.62
BE,MT,jury,13,5,2.6
LT,MT,jury,13,5,2.6
SM,LV,jury,13,5,2.6
FR,AZ,jury,13,5,2.6
NL,AZ,jury,13,5,2.6
EE,HR,jury,13,5,2.6
BE,IE,jury,13,5,2.6
DK,IE,jury,13,5,2.6
GB,IE,jury,13,5,2.6
ME,NO,jury,13,5,2.6
AZ,IE,jury,13,5,2.6
LV,BG,public,13,5,2.6
MK,AM,public,13,5,2.6
IT,IS,public,13,5,2.6
HR,IE,public,13,5,2.6
CH,IS,public,13,5,2.6
AU,SM,public,13,5,2.6
NO,AM,jury,18,7,2.57
GE,LT,jury,18,7,2.57
IS,BE,jury,18,7,2.57
GE,AT,jury,18,7,2.57
AL,RS,jury,18,7,2.57
PL,RS,jury,18,7,2.57
ES,RS,jury,18,7,2.57
NO,CY,jury,18,7,2.57
IE,HR,jury,18,7,2.57
ES,IS,jury,18,7,2.57
SE,EE,jury,18,7,2.57
PL,AL,jury,18,7,2.57
GR,NL,public,18,7,2.57
SI,AT,public,18,7,2.57
ES,AT,public,18,7,2.57
GR,RS,public,18,7,2.57
IT,HR,public,18,7,2.57
GR,CZ,public,18,7,2.57
SE,MD,public,18,7,2.57
LV,CH,public,18,7,2.57
AU,FR,jury,23,9,2.56
NO,FR,jury,23,9,2.56
GE,IL,jury,23,9,2.56
IS,IT,jury,23,9,2.56
AL,GB,jury,23,9,2.56
IE,GB,jury,23,9,2.56
AT,SE,public,23,9,2.56
DK,AT,public,23,9,2.56
NO,IT,public,23,9,2.56
NO,RU,jury,10,4,2.5
BG,PL,jury,10,4,2.5
MD,NL,jury,15,6,2.5
GB,LV,jury,15,6,2.5
MD,IT,jury,20,8,2.5
BE,AZ,jury,15,6,2.5
AU,HU,jury,10,4,2.5
RU,GE,jury,5,2,2.5
MD,SM,jury,10,4,2.5
HR,IS,jury,15,6,2.5
BY,MK,jury,10,4,2.5
MK,PT,jury,10,4,2.5
ME,DK,jury,10,4,2.5
PT,MK,jury,5,2,2.5
LU,UA,jury,5,2,2.5
HR,LU,jury,5,2,2.5
SI,LU,jury,5,2,2.5
RU,AU,public,10,4,2.5
RU,PL,public,5,2,2.5
IT,LT,public,20,8,2.5
RU,LT,public,10,4,2.5
CH,BE,public,15,6,2.5
BY,NL,public,10,4,2.5
IL,MT,public,15,6,2.5
NL,MT,public,15,6,2.5
RU,MT,public,10,4,2.5
FR,AT,public,20,8,2.5
MK,IL,public,15,6,2.5
LT,AZ,public,15,6,2.5
CY,HU,public,10,4,2.5
IT,GE,public,10,4,2.5
BY,CY,public,10,4,2.5
FI,CY,public,20,8,2.5
MK,SI,public,10,4,2.5
LT,IE,public,15,6,2.5
PL,IE,public,10,4,2.5
IT,DK,public,15,6,2.5
AL,MD,public,15,6,2.5
IS,RO,public,5,2,2.5
LT,RO,public,10,4,2.5
ME,BY,public,5,2,2.5
DE,GR,public,15,6,2.5
FR,DK,public,15,6,2.5
BE,IS,public,15,6,2.5
IT,ME,public,5,2,2.5
AZ,MK,public,10,4,2.5
LU,EE,public,5,2,2.5
SI,FR,jury,22,9,2.44
GB,FR,jury,22,9,2.44
AL,ES,jury,22,9,2.44
IT,DE,jury,22,9,2.44
FR,ES,public,22,9,2.44
MT,GB,public,22,9,2.44
BE,NO,public,22,9,2.44
EE,BE,jury,17,7,2.43
AU,NL,jury,17,7,2.43
NL,CY,jury,17,7,2.43
MD,CZ,jury,17,7,2.43
DK,AL,jury,17,7,2.43
CY,CH,jury,17,7,2.43
CY,AU,public,17,7,2.43
PL,RS,public,17,7,2.43
MD,CY,public,17,7,2.43
SI,CY,public,17,7,2.43
IT,CH,public,17,7,2.43
BG,FR,jury,12,5,2.4
NO,BE,jury,12,5,2.4
LT,CZ,jury,12,5,2.4
ME,CZ,jury,12,5,2.4
UA,DK,jury,12,5,2.4
FI,SI,jury,12,5,2.4
DK,AZ,public,12,5,2.4
SE,AZ,public,12,5,2.4
CZ,SM,public,12,5,2.4
FI,SM,public,12,5,2.4
NL,IE,public,12,5,2.4
RO,MT,public,12,5,2.4
PL,SM,public,12,5,2.4
SM,UA,jury,19,8,2.38
DK,IL,jury,19,8,2.38
UA,DE,jury,19,8,2.38
AU,FI,jury,19,8,2.38
LT,AT,public,19,8,2.38
HR,IL,public,19,8,2.38
ES,EE,public,19,8,2.38
CZ,PT,public,19,8,2.38
PT,NO,public,19,8,2.38
EE,RU,jury,7,3,2.33
CH,RU,jury,7,3,2.33
GB,RU,jury,7,3,2.33
ME,FR,jury,14,6,2.33
BY,AM,jury,7,3,2.33
BE,PL,jury,14,6,2.33
AL,BE,jury,14,6,2.33
RS,BE,jury,14,6,2.33
ME,NL,jury,14,6,2.33
CZ,IT,jury,21,9,2.33
AT,AZ,jury,14,6,2.33
FI,AZ,jury,14,6,2.33
DE,ES,jury,21,9,2.33
IL,HR,jury,14,6,2.33
MD,HR,jury,14,6,2.33
FI,GB,jury,21,9,2.33
ES,MD,jury,14,6,2.33
IE,MK,jury,14,6,2.33
IL,RO,jury,7,3,2.33
PT,HU,jury,7,3,2.33
ES,BY,jury,7,3,2.33
RO,CY,jury,14,6,2.33
PT,SI,jury,14,6,2.33
NL,MK,jury,7,3,2.33
RO,LT,jury,14,6,2.33
ME,CH,jury,7,3,2.33
AL,FR,public,21,9,2.33
NL,FR,public,21,9,2.33
NO,FR,public,21,9,2.33
MD,PL,public,14,6,2.33
MT,LT,public,21,9,2.33
NO,MT,public,14,6,2.33
LV,IT,public,21,9,2.33
AL,HU,public,7,3,2.33
DK,HU,public,7,3,2.33
IL,HR,public,14,6,2.33
RU,HR,public,7,3,2.33
LT,DK,public,14,6,2.33
HU,PT,public,7,3,2.33
AZ,AL,public,14,6,2.33
NL,MK,public,7,3,2.33
CZ,AM,jury,16,7,2.29
NL,AM,jury,16,7,2.29
GR,BE,jury,16,7,2.29
RS,MT,jury,16,7,2.29
GR,CZ,jury,16,7,2.29
AM,NO,jury,16,7,2.29
DE,EE,jury,16,7,2.29
LT,EE,jury,16,7,2.29
FI,PL,public,16,7,2.29
LV,NL,public,16,7,2.29
ES,NL,public,16,7,2.29
FI,RS,public,16,7,2.29
IT,CY,public,16,7,2.29
AZ,PT,public,16,7,2.29
DK,PT,public,16,7,2.29
NO,EE,public,16,7,2.29
MT,UA,jury,18,8,2.25
DE,RU,jury,9,4,2.25
RU,FR,jury,9,4,2.25
ME,AT,jury,9,4,2.25
IS,IL,jury,18,8,2.25
BY,RS,jury,9,4,2.25
IL,CY,jury,18,8,2.25
HR,GR,jury,18,8,2.25
CZ,EE,jury,18,8,2.25
RO,AL,jury,9,4,2.25
AM,BG,public,9,4,2.25
RU,FR,public,9,4,2.25
GR,AT,public,18,8,2.25
RU,RS,public,9,4,2.25
GR,HU,public,9,4,2.25
IE,CY,public,18,8,2.25
BG,HR,public,9,4,2.25
IS,SM,public,9,4,2.25
GE,PT,public,18,8,2.25
PT,GE,public,9,4,2.25
BG,EE,public,9,4,2.25
RO,CZ,public,9,4,2.25
DE,IS,public,9,4,2.25
GE,FR,jury,20,9,2.22
IT,FR,jury,20,9,2.22
NL,LT,jury,20,9,2.22
NO,LT,jury,20,9,2.22
SM,ES,jury,20,9,2.22
AU,GB,jury,20,9,2.22
AT,GB,jury,20,9,2.22
BE,GB,jury,20,9,2.22
MT,GB,jury,20,9,2.22
SE,GB,jury,20,9,2.22
DK,DE,jury,20,9,2.22
RS,DE,jury,20,9,2.22
GR,SE,public,20,9,2.22
PL,IL,public,20,9,2.22
AU,GB,public,20,9,2.22
CH,NO,public,20,9,2.22
BG,IT,jury,11,5,2.2
ME,EE,jury,11,5,2.2
SI,MD,jury,11,5,2.2
AT,SI,jury,11,5,2.2
ME,AU,public,11,5,2.2
CY,GE,public,11,5,2.2
LT,IS,public,11,5,2.2
IS,AZ,jury,13,6,2.17
DK,HR,jury,13,6,2.17
GR,HR,jury,13,6,2.17
SE,HR,jury,13,6,2.17
SM,CZ,jury,13,6,2.17
NO,MD,jury,13,6,2.17
AU,AT,public,13,6,2.17
SI,CZ,public,13,6,2.17
GB,DK,public,13,6,2.17
IT,EE,public,13,6,2.17
PT,LT,public,13,6,2.17
FI,AM,jury,15,7,2.14
PL,LT,jury,15,7,2.14
CZ,AT,jury,15,7,2.14
AZ,HR,jury,15,7,2.14
GB,AL,jury,15,7,2.14
IT,PT,jury,15,7,2.14
PT,GR,jury,15,7,2.14
AU,PL,public,15,7,2.14
CY,BE,public,15,7,2.14
IS,CY,public,15,7,2.14
LT,CY,public,15,7,2.14
AZ,HR,public,15,7,2.14
NO,HR,public,15,7,2.14
GB,CZ,public,15,7,2.14
CH,GR,public,15,7,2.14
IE,UA,jury,17,8,2.12
IT,AT,jury,17,8,2.12
GR,IL,jury,17,8,2.12
AZ,CY,jury,17,8,2.12
GE,PL,public,17,8,2.12
EE,CY,public,17,8,2.12
CY,NO,public,17,8,2.12
CY,ES,jury,19,9,2.11
IT,ES,jury,19,9,2.11
MT,ES,jury,19,9,2.11
IE,DE,jury,19,9,2.11
HR,FR,public,19,9,2.11
FI,FR,public,19,9,2.11
NL,LT,public,19,9,2.11
IS,IT,public,19,9,2.11
GB,UA,jury,16,8,2.0
AT,AU,jury,12,6,2.0
RU,BG,jury,6,3,2.0
DK,FR,jury,18,9,2.0
MK,FR,jury,12,6,2.0
SM,AM,jury,12,6,2.0
UA,AM,jury,12,6,2.0
SI,PL,jury,14,7,2.0
AM,BE,jury,10,5,2.0
FR,BE,jury,12,6,2.0
BA,MT,jury,2,1,2.0
DK,MT,jury,12,6,2.0
CH,MT,jury,10,5,2.0
UA,MT,jury,10,5,2.0
AM,AT,jury,16,8,2.0
HR,AT,jury,16,8,2.0
SM,AT,jury,14,7,2.0
BY,IL,jury,8,4,2.0
NL,IT,jury,18,9,2.0
EE,RS,jury,16,8,2.0
SI,HU,jury,8,4,2.0
CZ,CY,jury,16,8,2.0
AZ,ES,jury,18,9,2.0
MK,ES,jury,12,6,2.0
GB,ES,jury,18,9,2.0
IT,HR,jury,14,7,2.0
PL,HR,jury,8,4,2.0
BG,GB,jury,10,5,2.0
EE,GB,jury,18,9,2.0
FR,GB,jury,18,9,2.0
DE,GB,jury,18,9,2.0
IL,GB,jury,18,9,2.0
AZ,CZ,jury,12,6,2.0
CZ,DE,jury,18,9,2.0
NO,DE,jury,18,9,2.0
CH,DE,jury,18,9,2.0
CZ,BA,jury,2,1,2.0
SM,BA,jury,2,1,2.0
FR,SM,jury,12,6,2.0
ME,SM,jury,10,5,2.0
ES,EE,jury,16,8,2.0
SI,MK,jury,6,3,2.0
AU,BY,jury,6,3,2.0
BE,NO,jury,18,9,2.0
RO,BE,jury,8,4,2.0
GE,RO,jury,6,3,2.0
PT,GB,jury,16,8,2.0
PT,BY,jury,6,3,2.0
CZ,DK,jury,10,5,2.0
CZ,AL,jury,12,6,2.0
SM,IE,jury,8,4,2.0
DK,SM,jury,10,5,2.0
FR,AL,jury,12,6,2.0
CH,FI,jury,12,6,2.0
GR,MK,jury,4,2,2.0
MK,IS,jury,8,4,2.0
AL,LU,jury,4,2,2.0
CY,LU,jury,4,2,2.0
FI,LU,jury,4,2,2.0
MT,LU,jury,4,2,2.0
MD,LU,jury,2,1,2.0
UA,LU,jury,4,2,2.0
UA,AU,public,12,6,2.0
BA,BG,public,2,1,2.0
AU,FR,public,18,9,2.0
GE,FR,public,18,9,2.0
IT,NL,public,14,7,2.0
HR,MT,public,10,5,2.0
MD,MT,public,8,4,2.0
SE,MT,public,12,6,2.0
AL,AT,public,18,9,2.0
RS,AT,public,14,7,2.0
SE,AT,public,14,7,2.0
LT,IL,public,16,8,2.0
SI,IL,public,16,8,2.0
AT,AZ,public,12,6,2.0
IT,AZ,public,10,5,2.0
IL,RS,public,16,8,2.0
BA,HU,public,2,1,2.0
IL,HU,public,8,4,2.0
BA,CY,public,2,1,2.0
DK,HR,public,12,6,2.0
FR,HR,public,10,5,2.0
LT,HR,public,16,8,2.0
ES,HR,public,10,5,2.0
GB,HR,public,12,6,2.0
SE,CZ,public,12,6,2.0
GR,IS,public,14,7,2.0
MK,NO,public,12,6,2.0
BE,DK,public,10,5,2.0
NO,PT,public,14,7,2.0
UA,PT,public,14,7,2.0
MK,MD,public,10,5,2.0
UA,RO,public,8,4,2.0
RO,AU,public,12,6,2.0
SM,NO,public,16,8,2.0
RO,HR,public,8,4,2.0
CZ,BY,public,6,3,2.0
IS,BY,public,6,3,2.0
CZ,DK,public,10,5,2.0
IT,FI,public,14,7,2.0
SI,FI,public,16,8,2.0
MD,AL,public,12,6,2.0
MT,IE,public,12,6,2.0
MK,EE,public,8,4,2.0
MK,SM,public,8,4,2.0
GB,EE,public,14,7,2.0
SM,AL,public,10,5,2.0
AZ,IE,public,10,5,2.0
BG,IS,public,6,3,2.0
PT,SM,public,6,3,2.0
FR,LU,public,4,2,2.0
SI,LU,public,4,2,2.0
SM,FR,jury,17,9,1.89
AU,IT,jury,17,9,1.89
BE,ES,jury,17,9,1.89
NO,ES,jury,17,9,1.89
LV,GB,jury,17,9,1.89
NL,DE,jury,17,9,1.89
SE,FR,public,17,9,1.89
IE,RS,jury,15,8,1.88
DE,CY,jury,15,8,1.88
FR,FI,jury,15,8,1.88
FI,EE,jury,15,8,1.88
IT,AL,jury,15,8,1.88
IL,PT,jury,15,8,1.88
FR,NO,jury,15,8,1.88
PT,FR,jury,15,8,1.88
AT,AM,public,15,8,1.88
SE,CY,public,15,8,1.88
BE,CH,public,15,8,1.88
EE,PT,public,15,8,1.88
FR,NO,public,15,8,1.88
IS,AM,jury,13,7,1.86
FI,PL,jury,13,7,1.86
CY,NL,jury,13,7,1.86
IL,NL,jury,13,7,1.86
MD,IL,jury,13,7,1.86
AZ,RS,jury,13,7,1.86
BE,RS,jury,13,7,1.86
GB,RS,jury,13,7,1.86
MT,MD,jury,13,7,1.86
AM,EE,jury,13,7,1.86
CY,EE,jury,13,7,1.86
AZ,AU,public,13,7,1.86
FI,NL,public,13,7,1.86
FR,NL,public,13,7,1.86
IE,AT,public,13,7,1.86
AM,HR,public,13,7,1.86
AZ,EE,public,13,7,1.86
SI,CH,public,13,7,1.86
CY,CH,public,13,7,1.86
NL,LV,jury,11,6,1.83
MK,GB,jury,11,6,1.83
IT,CZ,jury,11,6,1.83
LT,DK,jury,11,6,1.83
RO,IL,jury,11,6,1.83
RO,ES,jury,11,6,1.83
AZ,SI,jury,11,6,1.83
CY,SI,jury,11,6,1.83
UA,EE,jury,11,6,1.83
MK,FR,public,11,6,1.83
CH,MD,public,11,6,1.83
IT,GR,public,11,6,1.83
PT,SI,public,11,6,1.83
UA,BG,jury,9,5,1.8
GR,GE,jury,9,5,1.8
AU,HR,jury,9,5,1.8
ES,SI,jury,9,5,1.8
IE,IS,jury,9,5,1.8
MT,IS,public,9,5,1.8
ME,GR,public,9,5,1.8
BG,NO,public,9,5,1.8
IL,DK,public,9,5,1.8
CZ,SI,public,9,5,1.8
NO,GB,jury,16,9,1.78
FR,DE,jury,16,9,1.78
LT,DE,jury,16,9,1.78
CY,FI,jury,16,9,1.78
DE,FR,public,16,9,1.78
SM,FR,public,16,9,1.78
SI,FR,public,16,9,1.78
SE,IT,public,16,9,1.78
GR,ES,public,16,9,1.78
IL,DE,public,16,9,1.78
IL,CH,public,16,9,1.78
AM,BG,jury,7,4,1.75
HU,IL,jury,7,4,1.75
BE,LV,jury,7,4,1.75
BY,IT,jury,7,4,1.75
HU,IT,jury,7,4,1.75
BY,AZ,jury,7,4,1.75
RU,RS,jury,7,4,1.75
IL,GE,jury,7,4,1.75
PL,CY,jury,14,8,1.75
MD,ES,jury,14,8,1.75
GR,EE,jury,14,8,1.75
AL,BY,jury,7,4,1.75
IL,BY,jury,7,4,1.75
SE,DK,jury,7,4,1.75
BG,EE,jury,7,4,1.75
GB,SM,jury,7,4,1.75
DK,RU,public,7,4,1.75
AL,LT,public,14,8,1.75
IS,MT,public,7,4,1.75
BY,IT,public,7,4,1.75
MT,EE,public,14,8,1.75
NL,EE,public,14,8,1.75
AL,IE,public,7,4,1.75
BY,DK,public,7,4,1.75
MK,PT,public,7,4,1.75
AU,ME,public,7,4,1.75
SM,IE,public,7,4,1.75
IL,AM,jury,12,7,1.71
GR,PL,jury,12,7,1.71
CZ,LT,jury,12,7,1.71
FI,BE,jury,12,7,1.71
GB,NL,jury,12,7,1.71
GR,RS,jury,12,7,1.71
FR,CY,jury,12,7,1.71
AM,HR,jury,12,7,1.71
NL,FI,jury,12,7,1.71
HR,MD,jury,12,7,1.71
DE,IE,jury,12,7,1.71
IT,FI,jury,12,7,1.71
NL,AU,public,12,7,1.71
IT,AM,public,12,7,1.71
EE,PL,public,12,7,1.71
LV,PL,public,12,7,1.71
MT,AT,public,12,7,1.71
MD,CZ,public,12,7,1.71
MD,EE,public,12,7,1.71
BE,AL,public,12,7,1.71
DE,PT,public,12,7,1.71
IE,PT,public,12,7,1.71
PT,AT,public,12,7,1.71
GB,GR,public,12,7,1.71
LT,RU,jury,5,3,1.67
RS,AM,jury,10,6,1.67
CY,PL,jury,10,6,1.67
MT,PL,jury,10,6,1.67
DE,LT,jury,15,9,1.67
AZ,BE,jury,10,6,1.67
AL,AT,jury,15,9,1.67
FR,LV,jury,10,6,1.67
HR,AZ,jury,10,6,1.67
MK,HU,jury,5,3,1.67
SE,ES,jury,15,9,1.67
RU,CZ,jury,5,3,1.67
ES,DE,jury,15,9,1.67
CY,MD,jury,10,6,1.67
RS,NO,jury,15,9,1.67
BE,RO,jury,5,3,1.67
GB,RO,jury,5,3,1.67
FI,AL,jury,10,6,1.67
MT,IE,jury,10,6,1.67
HR,AL,jury,10,6,1.67
MD,IE,jury,5,3,1.67
NL,SI,jury,10,6,1.67
MD,AU,public,10,6,1.67
AZ,FR,public,15,9,1.67
EE,FR,public,15,9,1.67
IT,FR,public,15,9,1.67
PL,FR,public,15,9,1.67
SM,AM,public,10,6,1.67
UA,AM,public,10,6,1.67
MK,PL,public,5,3,1.67
CY,AT,public,10,6,1.67
AU,IT,public,15,9,1.67
GB,AZ,public,10,6,1.67
LV,HU,public,5,3,1.67
MK,ES,public,10,6,1.67
GR,HR,public,10,6,1.67
LV,HR,public,10,6,1.67
AZ,ME,public,5,3,1.67
SM,EE,public,15,9,1.67
RS,DK,public,10,6,1.67
AT,DK,public,10,6,1.67
PT,DK,public,10,6,1.67
AT,MK,public,5,3,1.67
PT,RS,public,10,6,1.67
RO,IS,public,5,3,1.67
FR,PL,jury,13,8,1.62
GE,PL,jury,13,8,1.62
CH,RS,jury,13,8,1.62
CZ,GR,jury,13,8,1.62
EE,GR,jury,13,8,1.62
UA,NO,jury,13,8,1.62
PT,FI,jury,13,8,1.62
IL,LT,public,13,8,1.62
MD,AT,public,13,8,1.62
CY,PT,public,13,8,1.62
GB,MT,jury,8,5,1.6
BG,AZ,jury,8,5,1.6
LV,GE,jury,8,5,1.6
FR,HR,jury,8,5,1.6
ME,PT,jury,8,5,1.6
FI,DK,jury,8,5,1.6
IT,IS,jury,8,5,1.6
IS,BG,public,8,5,1.6
AM,PL,public,8,5,1.6
BG,LT,public,8,5,1.6
IT,MT,public,8,5,1.6
LT,MT,public,8,5,1.6
UA,MT,public,8,5,1.6
BG,ES,public,8,5,1.6
ME,CZ,public,8,5,1.6
NL,CZ,public,8,5,1.6
CY,SM,public,8,5,1.6
ME,IS,public,8,5,1.6
CH,IE,public,8,5,1.6
UA,IE,public,8,5,1.6
PT,HR,public,8,5,1.6
PT,AZ,public,8,5,1.6
SE,AM,jury,11,7,1.57
FI,LT,jury,11,7,1.57
AZ,NL,jury,11,7,1.57
MD,LV,jury,11,7,1.57
IS,RS,jury,11,7,1.57
IT,RS,jury,11,7,1.57
CH,CY,jury,11,7,1.57
MT,SM,jury,11,7,1.57
NL,MD,jury,11,7,1.57
LT,AU,public,11,7,1.57
CY,NL,public,11,7,1.57
PL,NL,public,11,7,1.57
PL,AT,public,11,7,1.57
MD,RS,public,11,7,1.57
CH,DK,public,11,7,1.57
HR,PT,public,11,7,1.57
DE,EE,public,11,7,1.57
DK,GB,jury,14,9,1.56
PL,GB,jury,14,9,1.56
CH,GB,jury,14,9,1.56
BE,DE,jury,14,9,1.56
PL,DE,jury,14,9,1.56
AU,NO,jury,14,9,1.56
SI,NO,jury,14,9,1.56
IT,SE,public,14,9,1.56
CH,ES,public,14,9,1.56
FR,EE,public,14,9,1.56
DK,RU,jury,6,4,1.5
PL,AM,jury,9,6,1.5
MK,LT,jury,9,6,1.5
SE,LT,jury,12,8,1.5
PL,MT,jury,9,6,1.5
IS,HU,jury,6,4,1.5
BG,CY,jury,6,4,1.5
HU,HR,jury,3,2,1.5
RU,GB,jury,6,4,1.5
RU,SM,jury,6,4,1.5
RU,ME,jury,3,2,1.5
SE,IS,jury,9,6,1.5
CZ,MD,jury,9,6,1.5
FI,MD,jury,9,6,1.5
HU,EE,jury,6,4,1.5
IL,MK,jury,9,6,1.5
PL,IE,jury,6,4,1.5
RS,AL,jury,9,6,1.5
BG,RO,jury,3,2,1.5
LV,RO,jury,6,4,1.5
SI,RO,jury,6,4,1.5
RO,HU,jury,3,2,1.5
HR,NO,jury,12,8,1.5
MD,BY,jury,3,2,1.5
AL,IS,jury,9,6,1.5
SE,SI,jury,9,6,1.5
RO,RS,jury,9,6,1.5
