Source,Target,TotalPoints,Encounters,AvgPointsPerEncounter
BA,BE,22,15,1.47
LT,RO,28,19,1.47
RO,LT,28,19,1.47
TR,EE,22,15,1.47
BY,MK,22,15,1.47
HR,AM,22,15,1.47
LU,DK,38,26,1.46
LU,CY,19,13,1.46
RS,IE,19,13,1.46
NO,MC,32,22,1.45
IL,TR,42,29,1.45
SI,DE,42,29,1.45
MC,AT,26,18,1.44
LT,GB,36,25,1.44
ME,LT,13,9,1.44
DK,HR,30,21,1.43
PL,MT,33,23,1.43
TR,IS,34,24,1.42
MD,ES,27,19,1.42
BG,IS,17,12,1.42
IE,BA,24,17,1.41
FR,SI,31,22,1.41
HU,DE,24,17,1.41
DK,RS,24,17,1.41
LU,NO,49,35,1.4
IS,LU,14,10,1.4
BA,NL,21,15,1.4
GR,SK,7,5,1.4
NL,AD,7,5,1.4
SM,MK,7,5,1.4
CH,LU,53,38,1.39
RO,IS,25,18,1.39
IE,PT,69,50,1.38
IL,PT,55,40,1.38
CY,DE,55,40,1.38
EE,RS,22,16,1.38
DK,IT,52,38,1.37
DE,YU,37,27,1.37
RU,AL,19,14,1.36
DE,SI,31,23,1.35
RO,FR,31,23,1.35
RO,GB,31,23,1.35
GE,GB,23,17,1.35
IT,YU,32,24,1.33
PL,BA,20,15,1.33
HU,MK,12,9,1.33
LT,TR,16,12,1.33
MC,MK,4,3,1.33
AD,BE,8,6,1.33
CS,EE,4,3,1.33
CY,MC,4,3,1.33
MD,SI,20,15,1.33
SK,AL,4,3,1.33
SK,BY,4,3,1.33
IT,BY,8,6,1.33
DK,SM,12,9,1.33
NO,AL,25,19,1.32
SE,ES,80,61,1.31
HR,DE,38,29,1.31
RS,AL,17,13,1.31
YU,PT,30,23,1.3
PT,YU,30,23,1.3
LU,IS,13,10,1.3
ES,LT,26,20,1.3
PL,MK,13,10,1.3
BG,IE,13,10,1.3
NL,GE,13,10,1.3
RO,SM,13,10,1.3
LU,FI,44,34,1.29
GR,TR,36,28,1.29
IS,TR,31,24,1.29
MK,ES,27,21,1.29
SE,MK,18,14,1.29
MK,FR,27,21,1.29
MC,PT,23,18,1.28
BE,HR,28,22,1.27
IE,GE,14,11,1.27
GR,SI,29,23,1.26
SK,MK,5,4,1.25
PT,BY,15,12,1.25
AM,HU,10,8,1.25
IS,GE,15,12,1.25
SE,GE,15,12,1.25
ME,FI,15,12,1.25
LU,AT,41,33,1.24
GR,DK,46,37,1.24
GE,DE,21,17,1.24
DK,MC,16,13,1.23
MC,NO,27,22,1.23
MD,IE,16,13,1.23
FR,GE,16,13,1.23
CZ,ES,16,13,1.23
NO,SI,33,27,1.22
RS,GE,17,14,1.21
IE,SK,6,5,1.2
AD,IE,6,5,1.2
IS,AD,6,5,1.2
GE,AL,18,15,1.2
LU,TR,19,16,1.19
PT,BA,20,17,1.18
LT,AM,20,17,1.18
RS,LV,13,11,1.18
AZ,FR,20,17,1.18
SK,RO,7,6,1.17
IL,MK,21,18,1.17
MK,AT,14,12,1.17
MK,LT,21,18,1.17
FI,BY,14,12,1.17
IE,BY,14,12,1.17
RO,BY,14,12,1.17
PT,SM,7,6,1.17
AU,ME,7,6,1.17
LV,RO,22,19,1.16
GR,LV,22,19,1.16
TR,FR,38,33,1.15
SE,SI,30,26,1.15
MT,DE,41,36,1.14
GR,DE,50,44,1.14
FR,LT,24,21,1.14
AM,LT,16,14,1.14
SI,GE,16,14,1.14
UA,AL,17,15,1.13
MC,YU,18,16,1.12
TR,SI,18,16,1.12
BA,EE,19,17,1.12
AM,AL,18,16,1.12
RS,ES,19,17,1.12
RU,SM,9,8,1.12
GR,BA,20,18,1.11
AL,LT,20,18,1.11
BA,MD,10,9,1.11
AT,LT,22,20,1.1
DK,SI,24,22,1.09
AL,GE,12,11,1.09
HU,LT,13,12,1.08
ES,GE,14,13,1.08
CH,YU,29,27,1.07
TR,DK,32,30,1.07
AT,CY,36,34,1.06
SI,TR,18,17,1.06
HU,ES,18,17,1.06
GB,AM,18,17,1.06
YU,NO,27,26,1.04
BE,SI,25,24,1.04
PL,ES,28,27,1.04
TR,MC,5,5,1.0
MA,FR,1,1,1.0
IS,BA,18,18,1.0
SK,CH,4,4,1.0
AT,SK,3,3,1.0
PL,SK,5,5,1.0
RO,SK,3,3,1.0
SK,NL,6,6,1.0
GR,LT,20,20,1.0
BE,SK,4,4,1.0
FR,MK,15,15,1.0
LV,MK,13,13,1.0
LV,ES,25,25,1.0
AD,AL,6,6,1.0
MC,AL,3,3,1.0
AD,GB,6,6,1.0
IE,AD,5,5,1.0
IL,AD,6,6,1.0
SI,AD,5,5,1.0
AL,BY,13,13,1.0
BA,BY,8,8,1.0
TR,BY,8,8,1.0
AD,MD,5,5,1.0
MD,CS,1,1,1.0
MD,AD,4,4,1.0
RU,AD,4,4,1.0
MD,MC,2,2,1.0
AM,DE,17,17,1.0
AM,LV,12,12,1.0
LV,RS,15,15,1.0
LT,RS,17,17,1.0
CZ,ME,8,8,1.0
FR,ME,7,7,1.0
RU,ME,8,8,1.0
SM,DE,15,15,1.0
IL,SM,11,11,1.0
BY,SK,3,3,1.0
LU,AM,2,2,1.0
RU,ES,22,23,0.96
IS,ES,35,37,0.95
AL,DK,20,21,0.95
MD,GB,18,19,0.95
RU,BA,15,16,0.94
MK,IE,16,17,0.94
MK,IS,15,16,0.94
AM,GB,16,17,0.94
IE,MK,14,15,0.93
RO,LV,13,14,0.93
LT,ES,23,25,0.92
BY,IE,11,12,0.92
SI,ES,27,30,0.9
HR,BE,19,21,0.9
GB,BA,16,18,0.89
ME,LV,8,9,0.89
IL,ME,8,9,0.89
DK,ES,43,49,0.88
GB,SI,22,25,0.88
HU,FR,15,17,0.88
EE,TR,14,16,0.88
RS,GB,15,17,0.88
RO,ME,7,8,0.88
AU,AL,7,8,0.88
EE,SK,6,7,0.86
NL,ME,6,7,0.86
AM,SI,11,13,0.85
PT,PL,20,24,0.83
AD,DE,5,6,0.83
FI,AD,5,6,0.83
BA,GE,5,6,0.83
BY,ME,5,6,0.83
HR,SM,5,6,0.83
NL,AL,14,17,0.82
BA,DK,12,15,0.8
LV,AL,16,20,0.8
BY,AD,4,5,0.8
GR,AD,4,5,0.8
RO,GE,8,10,0.8
IE,TR,24,31,0.77
IL,AL,13,17,0.76
GE,ES,13,17,0.76
BA,PT,12,16,0.75
MK,SK,3,4,0.75
IS,MK,9,12,0.75
AD,AM,3,4,0.75
CY,ME,6,8,0.75
BA,CH,8,11,0.73
PL,TR,11,15,0.73
IE,AL,11,15,0.73
HR,PL,15,21,0.71
DK,ME,5,7,0.71
DK,CZ,7,10,0.7
CH,SM,7,10,0.7
FI,MK,11,16,0.69
BY,FR,11,16,0.69
IE,AM,11,16,0.69
TR,LV,6,9,0.67
CS,TR,2,3,0.67
CS,IS,2,3,0.67
AL,MC,2,3,0.67
EE,MC,2,3,0.67
CS,CH,2,3,0.67
GE,MK,6,9,0.67
RS,PL,10,15,0.67
ES,ME,6,9,0.67
AT,SM,6,9,0.67
LV,SM,6,9,0.67
BG,SM,2,3,0.67
UA,SM,4,6,0.67
PT,TR,21,32,0.66
ES,BY,7,11,0.64
ES,BA,12,19,0.63
TR,PL,8,13,0.62
GR,MK,8,13,0.62
CH,SI,12,20,0.6
SE,SK,3,5,0.6
SK,TR,3,5,0.6
SI,SK,3,5,0.6
MT,AD,3,5,0.6
TR,AD,3,5,0.6
AM,IE,6,10,0.6
NO,ME,3,5,0.6
CH,ME,3,5,0.6
YU,IS,4,7,0.57
SK,ES,4,7,0.57
HU,ME,4,7,0.57
LT,BA,7,13,0.54
ME,GB,7,13,0.54
EE,ES,16,30,0.53
MD,DE,10,19,0.53
MK,DE,11,21,0.52
BA,IS,9,18,0.5
LU,SI,1,2,0.5
FI,SK,2,4,0.5
EE,CS,1,2,0.5
BY,DE,8,16,0.5
HR,AD,2,4,0.5
LT,AD,2,4,0.5
NL,BY,6,12,0.5
CS,BG,1,2,0.5
PL,MC,1,2,0.5
RS,TR,3,6,0.5
DK,GE,6,12,0.5
ME,IE,4,8,0.5
AZ,DE,8,17,0.47
PT,MK,5,11,0.45
BA,LV,5,11,0.45
EE,AL,7,16,0.44
BG,LV,4,9,0.44
AZ,IS,7,16,0.44
NL,SM,4,9,0.44
CY,TR,12,28,0.43
YU,DK,7,17,0.41
IL,BA,6,15,0.4
ES,SK,2,5,0.4
NO,AD,2,5,0.4
SE,AD,2,5,0.4
GE,BA,2,5,0.4
ME,GE,4,10,0.4
CY,BA,7,18,0.39
BY,GB,6,16,0.38
DK,BY,5,13,0.38
SI,SM,3,8,0.38
SE,SM,3,8,0.38
TR,CY,10,27,0.37
CY,MK,5,14,0.36
NO,BY,4,11,0.36
GE,IE,4,11,0.36
UA,ES,7,20,0.35
RU,SK,1,3,0.33
SK,FI,2,6,0.33
BA,LT,4,12,0.33
TR,LT,4,12,0.33
LV,BA,4,12,0.33
CS,NL,1,3,0.33
CS,IE,1,3,0.33
MC,BY,1,3,0.33
AD,ME,1,3,0.33
TR,CZ,1,3,0.33
LT,MK,4,13,0.31
SE,BY,4,13,0.31
AT,GE,3,10,0.3
AL,CZ,3,10,0.3
BE,BY,4,14,0.29
GB,BY,4,14,0.29
LV,ME,2,7,0.29
RU,PT,4,15,0.27
NO,GE,3,11,0.27
FI,ME,3,11,0.27
DE,ME,2,8,0.25
IS,ME,2,8,0.25
AM,AZ,3,12,0.25
SM,BY,1,4,0.25
MK,AD,1,5,0.2
CH,GE,2,10,0.2
NO,SM,2,11,0.18
LV,TR,2,12,0.17
AD,BA,1,6,0.17
DE,BY,2,13,0.15
CH,BY,2,13,0.15
FR,SK,1,7,0.14
EE,MK,2,15,0.13
BA,CY,2,16,0.12
EE,BA,2,17,0.12
BY,ES,2,16,0.12
HU,BA,1,10,0.1
DE,SM,1,10,0.1
LT,AL,1,17,0.06
AL,LV,1,18,0.06
MA,IE,0,1,0.0
MA,NL,0,1,0.0
MA,IT,0,1,0.0
MA,PT,0,1,0.0
MA,LU,0,1,0.0
MA,GR,0,1,0.0
MA,BE,0,1,0.0
AT,MA,0,1,0.0
BE,MA,0,1,0.0
DK,MA,0,1,0.0
FI,MA,0,1,0.0
FR,MA,0,1,0.0
DE,MA,0,1,0.0
GR,MA,0,1,0.0
IE,MA,0,1,0.0
LU,MA,0,1,0.0
NL,MA,0,1,0.0
NO,MA,0,1,0.0
PT,MA,0,1,0.0
ES,MA,0,1,0.0
SE,MA,0,1,0.0
CH,MA,0,1,0.0
TR,MA,0,1,0.0
GB,MA,0,1,0.0
MA,FI,0,1,0.0
LU,BA,0,1,0.0
BA,LU,0,1,0.0
SK,FR,0,7,0.0
CY,SK,0,5,0.0
DE,SK,0,5,0.0
HU,SK,0,3,0.0
LT,SK,0,3,0.0
NL,SK,0,6,0.0
NO,SK,0,5,0.0
CH,SK,0,3,0.0
GB,SK,0,4,0.0
TR,SK,0,3,0.0
BE,MK,0,17,0.0
ES,MK,0,14,0.0
IL,SK,0,2,0.0
CS,DE,0,3,0.0
CS,ES,0,3,0.0
MC,RU,0,3,0.0
CS,MT,0,3,0.0
AD,HR,0,6,0.0
AD,MK,0,5,0.0
CS,FR,0,3,0.0
CS,GB,0,3,0.0
MC,PL,0,3,0.0
CS,PL,0,3,0.0
CS,AT,0,2,0.0
CS,BE,0,3,0.0
AD,EE,0,6,0.0
CS,DK,0,3,0.0
CS,PT,0,3,0.0
CS,LV,0,3,0.0
AT,AD,0,3,0.0
BE,AD,0,6,0.0
BA,AD,0,6,0.0
CY,AD,0,4,0.0
DK,AD,0,4,0.0
DE,AD,0,6,0.0
LV,AD,0,4,0.0
MC,AD,0,3,0.0
RO,AD,0,6,0.0
CS,AD,0,3,0.0
CH,AD,0,5,0.0
UA,AD,0,4,0.0
GB,AD,0,5,0.0
AD,BY,0,5,0.0
CS,BY,0,3,0.0
BY,MC,0,3,0.0
BA,MC,0,3,0.0
HR,MC,0,3,0.0
IS,MC,0,3,0.0
LV,MC,0,3,0.0
LT,MC,0,3,0.0
MK,MC,0,3,0.0
RO,MC,0,3,0.0
CS,MC,0,3,0.0
SI,MC,0,3,0.0
UA,MC,0,3,0.0
MC,MD,0,2,0.0
MC,HU,0,1,0.0
AD,BG,0,4,0.0
MC,BG,0,2,0.0
BG,AD,0,4,0.0
FR,AD,0,3,0.0
HU,AD,0,2,0.0
BG,MC,0,2,0.0
HU,MC,0,1,0.0
RU,MC,0,2,0.0
MC,AM,0,1,0.0
CS,AM,0,1,0.0
AM,MC,0,1,0.0
AM,AD,0,4,0.0
AD,RS,0,2,0.0
TR,RS,0,5,0.0
AD,GE,0,2,0.0
ME,DE,0,13,0.0
GE,AD,0,1,0.0
ME,AD,0,3,0.0
RS,AD,0,1,0.0
AT,ME,0,7,0.0
BE,ME,0,10,0.0
BG,ME,0,2,0.0
EE,ME,0,8,0.0
GE,ME,0,8,0.0
IE,ME,0,8,0.0
LT,ME,0,5,0.0
PL,ME,0,8,0.0
GB,ME,0,8,0.0
AD,CZ,0,2,0.0
AZ,AM,0,15,0.0
AZ,AD,0,1,0.0
SM,AD,0,1,0.0
IE,SM,0,9,0.0
AZ,SK,0,1,0.0
DK,SK,0,2,0.0
LV,SK,0,3,0.0
SK,LV,0,3,0.0
SK,GE,0,3,0.0
LT,SM,0,8,0.0
SK,BG,0,2,0.0
BG,SK,0,2,0.0
IT,SK,0,1,0.0
GE,SK,0,1,0.0
AM,LU,0,2,0.0
CZ,LU,0,2,0.0
EE,LU,0,2,0.0
GE,LU,0,2,0.0
SM,LU,0,2,0.0
LU,GE,0,2,0.0
LU,MD,0,1,0.0
LU,AZ,0,1,0.0
LU,SM,0,1,0.0
LU,ME,0,1,0.0
